2026-02-03 08:13:12,370 - diamondback - transport.transportBase.NatsTransport - INFO - NatsTransport connected [taskName=Task-1, event=connect, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:13:12,372 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.metadata.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:13:37,212 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:14:02,654 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:14:28,013 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:14:53,388 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:15:18,769 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:15:44,153 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:16:09,438 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:16:34,773 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:17:00,125 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:17:25,453 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:17:50,767 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:18:16,110 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:18:41,455 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:19:06,798 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:19:32,156 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:19:57,499 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:20:22,855 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:20:48,168 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:21:13,471 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:21:38,821 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:22:04,194 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:22:29,518 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:22:54,851 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:23:20,212 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:23:45,593 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:24:10,939 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:24:36,308 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:25:01,728 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:25:27,143 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:25:52,545 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:26:17,892 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:26:43,210 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:27:08,613 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:27:34,026 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:27:59,440 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:28:24,862 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:28:50,289 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:29:15,722 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:29:41,128 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:30:06,627 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:30:32,096 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:30:57,488 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
2026-02-03 08:31:22,880 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.payload-local.ui.orbitSim.test.orbiter-1km.v1 [taskName=Task-1, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=f7cb97e7]
